Column1|Name|Birth Date|Death Date|Description|Indexes|Watsonline|Watsonline search|Wikipedia|Wikipedia search|AAVAD|AAVAD Search|Met Collection|Met Collection search|Wikidata ID|Library of Congress authority ID|VIAF ID|Union List of Artist Names ID
542|Robinson, Aminah|1940|2015|book/zine artist; multimedia artist; painter; sculptor||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Robinson%2C+Aminah%22+or+%22Aminah+Brenda+Lynn+Robinson%22+or+%22Aminah+Robinson%22&searchscope=1&sortdropdown=-&SORT=A&extended=0&SUBMIT=Search&searchlimits=&searchorigarg=X%22Robinson%2C+Aminah+Brenda+Lynn%22+or+%22Aminah+Brenda+Lynn+Robinson%22%26SORT%3DA|Wikipedia|https://en.wikipedia.org/wiki/Aminah_Robinson|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1207|||Q4746390|n91099198|32940170|
543|Robinson, Hilyard Robert|1899|1986|architect||Watsonline|https://library.metmuseum.org/search/?searchtype=X&searcharg=%22Robinson%2C+Hilyard%22+or+%22Hilyard+Robinson%22+or+%22Hilyard+Robert+Robinson%22&searchscope=1&HISTORY=|Wikipedia|https://en.wikipedia.org/wiki/Hilyard_Robinson|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7298|||Q16011652||95819522|
544|Sampson, Kevin Blythe|1954||assemblage artist; installation artist; painter||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Sampson%2C%20Kevin%22%20or%20%22Kevin%20Blythe%20Sampson%22%20or%20%22Kevin%20Sampson%22)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Kevin_Sampson_(artist)|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=7051|||Q28935762||309814287|500331889
545|Sklarek, Norma Merrick|1926||architect||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=Norma+Sklarek&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Norma_Merrick_Sklarek|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1671|||Q1999287|n2010071416|96304889|500086203
546|Smith, Art|1917|1982|||Watsonline|https://library.metmuseum.org/search~S1/X?SEARCH=(%22Smith%2C%20Art%2C%201917-1982%22)%20or%20(%22arthur%20george%20smith%22)%20or%20(%22art%20smith%22%20AND%20aaap)%20or%20(%22art%20smith%22%20AND%20jewelry)&searchscope=1&SORT=R|Wikipedia|https://en.wikipedia.org/wiki/Art_Smith_(jeweler)|AAVAD|https://wayback.archive-it.org/4472/20210305220657/http://216.197.120.164/artistbibliog.cfm?id=1505|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22smith%2C+art%22&searchField=ArtistCulture|Q119171735|||
547|Smith, Howard|1928|2021|multimedia artist; printmaker||Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Smith%2C+Howard%2C+1928-%22&searchscope=1|||AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=1675|||Q11863692|nb2009027120|162586127|500122236
548|Smith, Nyugen|1976||assemblage artist; collagist; installation artist; mixed-media artist; performance artist; time-based media artist|Index of Latinx and Hispanic American Artists|Watsonline|https://library.metmuseum.org/search/?searchtype=X&searcharg=nyugen+smith&searchscope=1&HISTORY=|||||||Q55604917|||
550|Soares, Jared|1982||photographer||Watsonline|https://library.metmuseum.org/search~S1/?searchtype=X&searcharg=%22Soares,%20Jared%22%20or%20%22Jared%20Soares%22&searchscope=1&SORT=A|||||||Q118247721|||
551|Steth, Raymond|1917|1997|designer; painter; printmaker||Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=""Steth, Raymond""%20or%20""Raymond Steth""&searchscope=1"|Wikipedia|https://en.wikipedia.org/wiki/Raymond_Steth|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=985|Met Collection|https://www.metmuseum.org/art/collection/search?q=steth%2C+raymond&searchField=ArtistCulture|Q23688934|nr2006003935|27024672|500490408
552|Sunstrum, Pamela Phatsimo|1980||book/zine artist||Watsonline|"https://library.metmuseum.org/search~S1/?searchtype=X&SORT=DX&searcharg=""Sunstrum, Pamela Phatsimo""%20or%20""Pamela Phatsimo Sunstrum""&searchscope=1"|Wikipedia|https://en.wikipedia.org/wiki/Pamela_Sunstrum|AAVAD|https://wayback.archive-it.org/4472/http://216.197.120.164/artistbibliog.cfm?id=10853|||Q29617948||3463151304655540000000|
