Wikidata ID|Display Name|Birth|Death|Indexes|Description|Watsonline|Watsonline URL|Wikipedia|Wikipedia URL|Met Collection|Met Collection URL|ULAN ID|VIAF ID|LC ID|Reference for inclusion as LGBTQIA+ artist|Reference for inclusion URL
Q380494|Demuth, Charles|1883|1935||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Charles+Demuth%22+or+%22Demuth%2C+Charles%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Charles_Demuth|Met Collection|https://www.metmuseum.org/art/collection/search?q=%22Demuth, Charles%22&searchField=ArtistCulture|http://vocab.getty.edu/page/ulan/500004441|https://viaf.org/viaf/29542716|n79139634|Queer Art Movement overview|https://www.theartstory.org/movement/queer-art/
Q87755062|DinéYazhi', Demian|1983|1983|Index of Indigenous and Native American Artists|installation artist;performance artist;photographer;sculptor;textile/fiber artist;time-based media artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=Demian+Din%C3%A9Yazhi%27&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Demian_Din%C3%A9yazhi%27||||||Artist's instagram (@heterogeneoushomosexual)|https://www.instagram.com/heterogeneoushomosexual/
Q1354357|Dobell, William|1899|1970||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22William Dobell %22+or+%22Dobell, William%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/William_Dobell|||http://vocab.getty.edu/page/ulan/500115512|https://viaf.org/viaf/526149196539474792331|n81149649|The Queer Encyclopedia of the Visual Arts|https://library.metmuseum.org:443/record=b1466091~S1
Q119628804|Downey, Kerry|1979|||book/zine artist;draftsperson;performance artist;printmaker;time-based media artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Kerry Downey%22+or+%22Downey, Kerry%22&searchscope=1||||||https://viaf.org/viaf/93160242736052430769||Artist's website|https://www.kerrydowney.com/about-
Q109270719|Dreager, Jacqueline||||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jacqueline Dreager%22+or+%22Dreager, Jacqueline%22&searchscope=1|||||http://vocab.getty.edu/page/ulan/500076028|https://viaf.org/viaf/96219286||Lesbian art in America : a contemporary history / Harmony Hammond|https://library.metmuseum.org:443/record=b1290072~S1
Q18808768|Dreva, Jerry|1945|1997||performance artist|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Jerry Dreva%22+or+%22Dreva, Jerry%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Jerry_Dreva|||http://vocab.getty.edu/page/ulan/500350280|https://viaf.org/viaf/9708159248331404870007||Axis Mundo : queer networks in Chicano L.A|https://library.metmuseum.org:443/record=b1954805~S1
Q4762430|Dufresne, Angela|1969|||painter|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Angela Dufresne%22+or+%22Dufresne, Angela%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Angela_Dufresne||||https://viaf.org/viaf/305183042||Ryan Lee Gallery bio|https://ryanleegallery.com/artists/angela-dufresne/
Q125572860|Dugi, Orlando||||fashion/clothing designer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Orlando Dugi%22+or+%22Dugi, Orlando%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Orlando_Dugi||||||"Issuu ""ORLANDO DUGI: THREADING THE PAST INTO THE FUTURE ONE BEAD AT A TIME"""|https://issuu.com/thenativemaxmagazine/docs/native_max_magazine_digital-june_july_2020/s/10766135
Q114796138|Durgun, Samet|1988|||photographer|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Samet Durgun%22+or+%22Durgun, Samet%22&searchscope=1||||||https://viaf.org/viaf/1163270990812140059|no2022016545|Artist's website|https://www.sametdurgun.com/
Q55020734|Dzubilo, Chloe|1960|2011||draftsperson|Watsonline|https://library.metmuseum.org/search/?searchtype=X&SORT=D&searcharg=%22Chloe Dzubilo%22+or+%22Dzubilo, Chloe%22&searchscope=1|Wikipedia|https://en.wikipedia.org/wiki/Chloe_Dzubilo||||||Artist's wikipedia entry|https://en.wikipedia.org/wiki/Chloe_Dzubilo
